"Alfalfa sprouts, raw",60,mL,vegetable,8,2,10,0,0,0,0.2,0,3,0.1,1,7,2,6,1,7,0,3,1,0,-1
"Artichoke hearts, canned in water",1,heart,vegetable,27,13,56,1,3,0,1,0,12,0.3,74,95,16,23,2,28,0,14,3,0,-1
"Artichoke hearts, marinated in oil",1,heart,vegetable,28,27,111,1,3,0,1,2,12,0.3,79,93,16,23,2,28,0,13,3,0,-1
"Artichoke, medium, boiled, drained",1,unit,vegetable,120,60,251,4,13,1,4.7,0,54,1.5,114,425,72,103,11,127,0,61,12,0,-1
"Asparagus, canned, drained",6,spears,vegetable,108,21,85,2,3,1,1.5,1,17,2,310,186,11,46,44,532,26,104,20,0,-1
"Asparagus, fresh or frozen, boiled, drained",6,spears,vegetable,90,18,75,2,3,1,1.6,0,18,0.7,8,178,11,46,41,489,24,128,14,0,-1
"Bean sprouts, stir-fried",125,mL,vegetable,66,33,137,3,7,-1,1.2,0,9,1.2,6,143,22,52,1,12,-1,46,10,0,-1
"Beans, lima, frozen, boiled, drained",125,mL,vegetable,95,100,417,6,18,1,4,0,27,1.9,28,391,53,107,8,95,0,15,6,0,-1
"Beans, snap (green, yellow, Italian), canned, drained",125,mL,vegetable,71,14,60,1,3,1,1.5,0,19,0.6,187,78,9,14,16,186,0,23,2,0,-1
"Beans, snap (green, yellow, Italian), fresh or frozen, boiled, drained",125,mL,vegetable,71,22,94,1,5,1,1.9,0,33,0.5,4,97,15,21,22,269,0,20,5,0,-1
"Beets, pickled, sliced, not drained",125,mL,vegetable,120,78,326,1,20,-1,2.2,0,13,0.5,317,177,18,20,1,7,-1,32,3,0,-1
"Beets, sliced, boiled, drained",125,mL,vegetable,90,40,165,2,9,7,1.8,0,14,0.7,69,274,21,34,2,19,0,72,3,0,-1
"Beets, sliced, canned, drained",125,mL,vegetable,90,28,117,1,6,5,1.9,0,13,1.6,174,133,15,15,1,13,0,27,6,0,-1
"Belgium endive, raw",1,unit,vegetable,53,9,38,0,2,-1,1.6,0,10,0.1,1,112,5,14,1,9,-1,20,1,0,-1
"Bok Choy, Pak-Choi, shredded, boiled, drained",125,mL,vegetable,90,11,45,1,2,1,0.9,0,84,0.9,31,333,10,26,190,2289,0,37,23,0,-1
"Broccoli, chopped, boiled, drained",125,mL,vegetable,82,29,120,2,6,1,2,0,33,0.6,34,241,17,55,81,973,0,89,53,0,-1
"Broccoli, chopped, raw",125,mL,vegetable,46,16,66,1,3,1,1.1,0,22,0.3,15,147,10,31,15,178,0,29,41,0,-1
"Broccoli, frozen spears, boiled, drained",125,mL,vegetable,97,27,114,3,5,1,2.3,0,50,0.6,23,175,19,53,54,645,0,29,39,0,-1
"Brussels sprouts, fresh or frozen, boiled, drained",4,sprout,vegetable,84,33,137,3,6,2,3.2,0,26,0.7,15,255,16,47,36,428,0,68,45,0,-1
"Cabbage, green, shredded, boiled, drained",125,mL,vegetable,79,17,73,1,4,2,1.3,0,25,0.1,6,77,6,12,6,59,0,16,16,0,-1
"Cabbage, green, shredded, raw",125,mL,vegetable,37,9,37,1,2,1,0.7,0,17,0.2,7,91,6,9,3,33,0,16,12,0,-1
"Cabbage, napa, shredded, boiled, drained",125,mL,vegetable,58,7,29,1,1,-1,-1,0,17,0.4,6,50,5,11,7,77,0,25,2,0,-1
"Cabbage, red, shredded, raw",125,mL,vegetable,37,11,48,1,3,1,0.8,0,17,0.3,10,90,6,11,21,248,7,7,21,0,-1
"Carrots, baby, raw",8,unit,vegetable,80,28,117,1,7,4,1.4,0,26,0.7,62,190,8,22,552,5113,0,26,7,0,-1
"Carrots, fresh or frozen, boiled, drained",125,mL,vegetable,77,28,116,1,6,3,1.9,0,25,0.3,45,165,8,24,652,6333,1,10,2,0,-1
"Carrots, medium, raw",1,unit,vegetable,61,25,104,1,6,3,1.5,0,20,0.2,42,195,7,21,367,3522,1,12,4,0,-1
"Cauliflower, pieces, boiled, drained",125,mL,vegetable,66,15,63,1,3,1,1.8,0,10,0.2,10,93,6,21,1,5,0,29,29,0,-1
"Cauliflower, pieces, raw",125,mL,vegetable,53,13,55,1,3,1,0.9,0,12,0.2,16,160,8,23,1,4,0,30,25,0,-1
"Celery, raw",1,unit,vegetable,40,6,24,0,1,1,0.6,0,16,0.1,32,104,4,10,9,108,0,14,1,0,-1
"Corn, sweet, canned, cream style",125,mL,vegetable,135,97,407,2,25,4,1.8,1,4,0.5,385,181,23,69,5,41,0,61,6,0,-1
"Corn, sweet, canned, niblets",125,mL,vegetable,111,88,366,3,22,4,2.3,1,6,0.5,302,206,26,71,4,37,0,54,6,0,-1
"Corn, sweet, on or off cob, fresh or frozen, boiled, drained",125,mL,vegetable,87,82,343,3,19,3,2,1,2,0.5,8,209,26,79,7,50,0,35,4,0,-1
"Cucumber, peeled, raw",4,slices,vegetable,28,3,14,0,1,0,0.2,0,4,0.1,1,38,3,6,1,9,0,4,1,0,-1
Edamame,125,mL,vegetable,82,100,417,9,8,2,4.3,4,52,1.9,5,357,52,138,-1,-1,-1,255,5,0,-1
"Eggplant, pieces, boiled, drained",125,mL,vegetable,52,18,76,0,5,2,1.3,0,3,0.1,1,64,6,8,1,12,0,7,1,0,-1
"Fiddleheads, frozen, boiled",125,mL,vegetable,98,33,139,4,6,-1,0.9,0,27,1,0,244,26,78,171,1911,-1,-1,22,0,-1
"Fireweed leaves, raw",125,mL,vegetable,12,13,52,1,2,-1,1.3,0,52,0.3,4,60,19,13,22,262,-1,14,0,0,-1
"Hearts of palm, canned",2,unit,vegetable,66,18,77,2,3,-1,1.6,0,38,2.1,281,117,25,43,0,0,-1,26,5,0,-1
"Kale, chopped, boiled, drained",125,mL,vegetable,69,19,80,1,4,1,1.4,0,49,0.6,16,157,12,19,468,5613,0,9,28,0,-1
"Leeks, chopped, boiled, drained",125,mL,vegetable,55,17,71,0,4,-1,0.5,0,16,0.6,5,48,8,9,1,15,-1,13,2,0,-1
"Lettuce, Boston, shredded",250,mL,vegetable,58,8,31,1,1,1,0.6,0,20,0.7,3,138,8,19,96,1155,0,42,2,0,-1
"Lettuce, iceberg, shredded",250,mL,vegetable,58,8,34,1,2,1,0.7,0,10,0.2,6,82,4,12,15,174,0,17,2,0,-1
"Lettuce, looseleaf, shredded",250,mL,vegetable,59,9,37,1,2,0,0.8,0,21,0.5,17,115,8,17,219,2629,0,22,11,0,-1
"Lettuce, romaine, shredded",250,mL,vegetable,59,10,42,1,2,1,1.2,0,20,0.6,5,146,8,18,172,2062,0,80,14,0,-1
"Lettuce, spring mix (mesclun)",250,mL,vegetable,58,12,50,1,2,0,1.1,0,43,0.7,21,202,19,23,124,1489,0,62,9,0,-1
"Mushrooms, pieces, canned, drained",125,mL,vegetable,82,21,87,2,4,2,2.3,0,9,0.7,350,106,12,54,0,0,0,10,1,0,-1
"Mushrooms, portobello, grilled",125,mL,vegetable,85,30,124,4,4,0,1.9,1,3,0.5,9,443,13,128,0,0,0,16,0,0,-1
"Mushrooms, raw",3,unit,vegetable,54,12,50,2,2,1,0.6,0,2,0.3,2,170,5,46,0,0,0,9,1,0.02,-1
"Mushrooms, shiitake, sliced, stir-fried",125,mL,vegetable,57,27,115,2,4,0,2.1,0,1,0.3,3,186,11,63,0,0,0,8,0,0,-1
"Mushrooms, white, sliced, stir-fried",125,mL,vegetable,57,15,62,2,2,0,1,0,2,0.1,7,226,6,60,0,0,0,11,0,0,-1
"Onions, green (scallion), raw",1,unit,vegetable,15,5,20,0,1,0,0.4,0,11,0.2,2,41,3,6,8,90,0,10,3,0,-1
"Onions, yellow, chopped, raw",60,mL,vegetable,41,17,71,0,4,2,0.6,0,9,0.1,1,58,4,11,0,0,0,8,3,0,-1
"Onions, yellow, chopped, sauteed",125,mL,vegetable,46,61,254,0,4,2,0.8,5,9,0.1,6,61,4,15,-1,-1,-1,-1,1,0,-1
"Parsnip, sliced, boiled, drained",125,mL,vegetable,82,59,245,1,14,4,2.7,0,30,0.5,8,302,24,57,0,0,0,48,11,0,-1
"Peas, green, canned, drained",125,mL,vegetable,90,62,260,4,11,4,4,0,18,0.9,226,155,15,60,24,287,0,40,9,0,-1
"Peas, green, frozen, boiled, drained",125,mL,vegetable,85,66,276,4,12,4,3.7,0,20,1.3,61,93,19,65,89,1057,0,50,8,0,-1
"Peas, snowpeas, boiled, drained",125,mL,vegetable,85,36,149,3,6,3,2.4,0,36,1.7,3,203,22,46,44,505,0,25,40,0,-1
"Peas, snowpeas, raw",10,unit,vegetable,34,14,60,1,3,1,0.6,0,15,0.7,1,68,8,18,18,214,0,14,20,0,-1
"Pepper, jalapeno, raw",1,unit,vegetable,14,4,18,0,1,0,0.4,0,1,0.1,0,30,3,4,6,64,0,7,6,0,-1
"Pepper, sweet, green, raw",0.5,unit,vegetable,82,16,69,1,4,2,1.2,0,8,0.3,2,144,8,16,15,171,0,9,66,0,-1
"Pepper, sweet, green, sauteed",125,unit,vegetable,74,95,396,1,3,2,1.3,9,6,0.2,13,100,6,11,8,101,0,1,132,0,-1
"Pepper, sweet, red, raw",0.5,unit,vegetable,60,15,65,1,4,2,0.8,0,4,0.3,1,126,7,15,93,966,183,11,113,0,-1
"Pepper, sweet, red, sauteed",125,unit,vegetable,74,99,413,1,5,3,1.3,9,5,0.4,16,144,9,17,98,1169,361,1,121,0,-1
"Pepper, sweet, yellow, raw",0.5,unit,vegetable,93,25,105,1,6,-1,0.8,0,10,0.4,2,197,11,22,9,112,-1,24,171,0,-1
"Pepper, sweet, yellow, sauteed",125,mL,vegetable,74,36,149,1,5,0,0.6,2,9,0.3,175,153,9,18,30,86,0,19,132,0,-1
"Potato, baked, flesh",1,unit,vegetable,156,145,607,3,34,3,3.4,0,8,0.5,8,610,39,78,0,0,0,14,20,0,-1
"Potato, baked, flesh and skin",1,unit,vegetable,173,161,673,4,37,2,3.8,0,26,1.9,17,926,48,121,2,10,0,48,17,0,-1
"Potato, boiled without skin",1,unit,vegetable,135,116,486,2,27,1,1.9,0,11,0.4,7,443,27,54,0,3,0,12,10,0,-1
"Potato, boiled, flesh and skin",1,unit,vegetable,150,129,540,3,30,1,2.5,0,13,1.3,7,572,34,67,0,0,0,15,18,0,-1
"Potato, canned, drained",4,unit,vegetable,140,84,351,2,19,-1,1.3,0,7,1.8,307,321,20,39,0,0,0,8,7,0,-1
"Potato, microwaved, flesh and skin",1,unit,vegetable,202,212,887,5,49,-1,5.1,0,22,2.5,16,903,55,212,0,0,0,24,31,0,-1
"Potato, microwaved, peeled after cooking",1,unit,vegetable,156,156,652,3,36,-1,3.4,0,8,0.6,11,641,39,170,0,0,0,19,24,0,-1
"Potatoes, French fried, frozen, home-prepared in oven",20,strips,vegetable,48,96,403,2,15,0,1.6,4,4,0.6,14,201,11,40,0,1,0,6,5,0,-1
"Potatoes, hashed brown, plain, frozen, heated",125,mL,vegetable,82,180,752,3,23,1,1.8,9,12,1.2,28,359,14,59,0,0,0,6,5,0,-1
"Potatoes, mashed, dried, 2% milk and margarine added",125,mL,vegetable,111,107,447,3,15,2,1.1,4,46,0.2,284,235,15,59,61,2,0,8,14,0.13,-1
"Potatoes, mashed, homemade with 2% milk and margarine",125,mL,vegetable,111,116,487,2,19,-1,2.2,4,29,0.3,327,321,20,51,19,100,0,9,7,0.06,-1
"Potatoes, scalloped, from mix with water, 2% milk and margarine",125,mL,vegetable,129,120,502,3,16,2,1,5,66,0.4,420,243,17,81,64,1,0,8,3,0.11,-1
"Potatoes, scalloped, homemade",125,mL,vegetable,129,111,466,4,14,-1,2.5,5,74,0.7,434,489,25,82,-1,83,0,16,14,0,-1
"Pumpkin, canned",125,mL,vegetable,129,44,184,1,10,4,3.8,0,34,1.8,6,267,30,45,1007,8983,0,16,5,0,-1
"Radicchio, chopped",125,mL,vegetable,21,5,20,0,1,0,0.2,0,4,0.1,5,64,3,8,0,3,0,13,2,0,-1
Radishes,3,unit,vegetable,14,2,9,0,0,0,0.2,0,3,0,5,31,1,3,0,1,0,3,2,0,-1
"Rutabaga (yellow turnip), diced, boiled, drained",125,mL,vegetable,90,35,146,1,8,5,1.6,0,43,0.5,18,293,21,50,13,1,0,13,17,0,-1
"Sauerkraut, canned, not drained",125,mL,vegetable,75,14,59,1,3,1,1.9,0,23,1.1,496,128,10,15,1,6,0,18,11,0,-1
"Seaweed, dulse, dried",60,mL,vegetable,4,8,35,1,1,0,0.1,0,17,0.4,11,84,0,14,62,740,-1,35,9,0,-1
"Spinach, boiled, drained",125,mL,vegetable,95,22,91,3,4,0,2.3,0,129,3.4,67,443,83,53,498,5980,0,139,9,0,-1
"Spinach, chopped, raw",250,mL,vegetable,32,7,30,1,1,0,0.7,0,31,0.9,25,177,25,16,149,1783,0,61,9,0,-1
"Squash, acorn, cubed, baked",125,mL,vegetable,108,61,253,1,16,-1,2.1,0,48,1,4,473,47,49,23,277,-1,21,12,0,-1
"Squash, butternut, cubed, baked",125,mL,vegetable,108,43,181,1,11,2,1.8,0,44,0.6,4,308,31,29,413,4950,0,21,16,0,-1
"Squash, spaghetti, baked",125,mL,vegetable,82,22,93,1,5,2,0.9,0,17,0.3,15,96,9,11,5,48,0,7,3,0,-1
"Sweet potato, baked, peeled after cooking",0.5,unit,vegetable,57,51,214,1,12,5,1.9,0,22,0.4,21,271,15,31,548,6560,0,3,11,0,-1
"Sweet potato, boiled without skin",0.5,unit,vegetable,76,57,240,1,13,4,1.9,0,20,0.5,20,174,14,24,594,7130,0,5,10,0,-1
"Swiss chard, chopped, boiled, drained",125,mL,vegetable,92,18,78,2,4,1,1.9,0,54,2.1,165,508,80,31,283,3376,0,8,17,0,-1
"Tomatoes, canned, stewed",125,mL,vegetable,135,35,147,1,8,6,1.4,0,46,1.8,298,279,16,27,12,140,5436,7,11,0,-1
"Tomatoes, canned, whole",125,mL,vegetable,127,22,90,1,5,3,1,0,39,1.2,162,238,14,24,8,89,3423,10,18,0,-1
"Tomatoes, raw",1,unit,vegetable,123,22,92,1,5,3,1.5,0,12,0.3,6,292,14,30,52,552,3165,18,16,0,-1
"Tomatoes, sun-dried",1,piece,vegetable,2,5,22,0,1,1,0.2,0,2,0.2,42,69,4,7,1,10,815,1,1,0,-1
"Tomatoes, sun-dried, packed in oil, drained",1,piece,vegetable,3,6,27,0,1,-1,0.2,0,1,0.1,8,47,2,4,2,23,-1,1,3,0,-1
"Turnip (white turnip), cubed, boiled, drained",125,mL,vegetable,82,18,76,1,4,2,1.6,0,27,0.1,13,146,7,21,0,0,0,7,10,0,-1
"Vegetables, Asian mix  (broccoli, carrots, green beans, ""mini corn"", snow peas, sweet red pepper), frozen, boiled, drained",125,mL,vegetable,74,29,122,1,6,2,1.8,0,24,0.5,15,128,13,32,192,1878,0,23,22,0,-1
"Vegetables, broccoli and cauliflower, frozen, boiled, drained",125,mL,vegetable,95,22,93,2,4,1,2.4,0,33,0.5,20,152,14,38,27,322,0,34,34,0,-1
"Vegetables, mixed (corn, lima beans, snap beans, peas, carrots), frozen, boiled, drained",125,mL,vegetable,96,63,262,3,13,3,2.8,0,24,0.8,34,163,21,49,206,2002,0,18,3,0,-1
"Vegetables, peas and carrots, canned, not drained",125,mL,vegetable,135,51,214,3,11,-1,2.7,0,31,1,350,135,19,62,389,0,-1,24,9,0,-1
"Zucchini, raw, slices",4,unit,vegetable,40,6,27,0,1,1,0.4,0,6,0.1,4,104,7,15,4,48,0,11,7,0,-1
"Zucchini, sliced, boiled, drained",125,mL,vegetable,95,15,64,1,4,2,1.3,0,12,0.3,3,241,21,38,53,637,0,16,4,0,-1
Carrot juice,125,mL,vegetable product,125,50,208,1,12,5,1,0,30,0.6,36,364,17,52,966,11599,2,5,11,0,-1
"Coleslaw with dressing, homemade",125,mL,vegetable product,63,44,183,1,8,-1,1,2,29,0.4,15,115,6,20,34,87,-1,17,21,0,-1
"Potato salad, homemade",125,mL,vegetable product,132,205,858,4,14,3,1.4,15,28,0.7,579,276,17,66,57,183,0,22,17,0.2,-1
Tomato clam cocktail,125,mL,vegetable product,128,61,257,1,14,4,0.5,0,10,0.2,462,114,6,14,9,163,3807,10,6,0.04,-1
Tomato juice,125,mL,vegetable product,128,22,91,1,5,5,0.9,0,13,0.6,345,294,14,23,30,347,11602,26,10,0,-1
"Tomato juice, without added salt",125,mL,vegetable product,184,31,131,1,8,7,0.7,0,18,0.8,18,421,20,33,42,-1,16611,37,34,0,-1
"Tomato sauce for spaghetti, canned",125,mL,vegetable product,132,143,600,2,21,-1,1.9,6,37,0.9,652,505,32,47,82,967,-1,28,15,0,-1
"Tomato sauce, canned",125,mL,vegetable product,129,41,173,2,10,6,1.9,0,17,1.3,678,428,21,34,22,271,19612,12,8,0,-1
Vegetable juice cocktail,125,mL,vegetable juice,128,24,101,1,6,4,0.7,0,14,0.5,345,247,14,22,100,1061,12351,27,35,0,-1
"Vegetable juice cocktail, low sodium",125,mL,vegetable juice,128,28,118,1,6,5,1,0,14,0.5,89,247,14,22,66,1061,12350,27,35,0,-1